1,2,3-三甲苯	偏三甲苯；1,2,3-三甲苯 
等張溶液	等張溶液
日本腦炎	日本腦炎
黃疸	黃疸
空腸	空腸
關節	關節
玉山圓柏	玉山圓柏；香青
近腎絲球器	腎小球旁器
近髓質腎元	近髓腎單元
水筆仔	水筆仔
卡波西肉瘤	卡波西肉瘤
核型	核型
核型分析	核型分析
角蛋白	角蛋白
腎	腎
洗腎 	腎透析
動能	動能
細胞裂殖素	細胞分裂素
著絲點	著絲點
界 {分類}	界 {分類}
克萊恩菲特症	克萊恩菲特症
膝跳反射	膝跳反射
克氏循環	克氏循環；檸檬酸循環；三羧酸循環
庫魯病	庫魯病
紅孩症　	紅孩症　
陣痛	陣痛
迷路 {內耳}	迷路 {內耳}
淚腺	淚腺
乳糖酶	乳糖酶
乳糜管	乳糜管
乳酸	乳酸
乳酸發酵	乳酸發酵
乳酸菌	乳酸菌
乳糖	乳糖
乳糖操縱組	乳糖操縱子
腔	管道，陷窩
延遲股	後隨鏈
板	板；片；瓣
固有層 {組織}	固有層 {組織}
地景生態	景觀生態學
蘭格漢細胞	蘭格漢細胞
喉	喉
夏材	夏材；晚材
側生分生組織	側生分生組織
側根	側根
側氣管幹	側氣管幹
獨立分配律	獨立分配律
分離律	分離律
領先股	前導鏈
葉	葉
葉片	葉片
葉原體	葉原體
葉鞘	葉鞘
小葉	小葉
習得行為	習得行爲
卵磷脂　	卵磷脂　
根瘤菌	根瘤菌
狐猴	狐猴
水晶體	晶狀體
皮孔	皮孔
白色體	白色體
白血病	白血病
白血球	白血球
地衣	地衣
生命週期	生命周期
韌帶	韌帶
配體	配體
配體閘控離子通道	配體閘控離子通道
連接酶	連接酶
連接	連接；結紮 
輕鏈	輕鏈
光反應	光反應
光能捕獲中心	捕光中心
光能捕獲複合體	捕光複合物
木質化	木質化
木質素	木質素
葉舌　	葉舌　
邊緣係統	邊緣係統
湖沼	湖沼
湖沼區	湖沼區
檸檬烯	檸檬烯
連鎖	連鎖
連鎖群	連鎖群
連鎖圖譜	連鎖圖譜
連鎖基因	連鎖基因
脂酶	脂酶
脂質	脂質
脂雙層	脂雙層
脂褐質	脂褐質
脂多醣	脂多醣
脂蛋白	脂蛋白
微脂體	脂質體
肝	肝
蘚類	藓類
基因座	基因座
S 型族群成長	S 型族群成長
長日照植物	長日照植物
縱切面	縱切面
長夜植物	長夜植物
長期記憶	長時記憶
亨耳環管	亨耳環管
藍腹鷴	藍腹鹇
種皮	種皮
蓮花效應	蓮花效應
低密度脂蛋白	低密度脂蛋白
螢光素酶	熒光素酶
肺	肺
黃體期	黃體期
葉黃素	葉黃素
黃體成長激素	黃體生成素
茄紅素	茄紅素
淋巴	淋巴
淋巴腺	淋巴腺
淋巴結	淋巴結
淋巴管	淋巴管
淋巴結腫大	淋巴結腫大
微淋管	微淋管
淋巴器官	淋巴器官
淋巴係統	淋巴係統
淋巴管	淋巴管
淋巴球	淋巴球；淋巴細胞
淋巴器官	淋巴器官
淋巴瘤	淋巴瘤
離胺酸 	賴氨酸
裂解	裂解
潛溶期	溶源周期
潛溶	溶源性
溶體	溶酶體
溶菌酶	溶菌酶
裂解期	裂解周期
獼猴	猕猴
巨演化	宏進化
大分子	高分子
巨噬細胞	巨噬細胞
緻密斑	致密斑
主要組織相容性複體　	主要組織兼容性複體　
蘋果酸鹽	蘋果酸鹽
蘋果酸	蘋果酸
鎚骨	錘骨
營養失調	營養失調
營養失調	營養失調
馬氏管	馬氏管
麥芽糖酶	麥芽糖酶
麥芽糖	麥芽糖
哺乳類　	哺乳類　
哺乳綱　	哺乳綱　
紅樹林	紅樹林
穿山甲	穿山甲；中國鲮鯉
甘露糖　	甘露糖　
外套膜	外套膜
圖譜單位	圖距單位
標記	標記
有袋類　 	有袋類　 
肥大細胞	肥大細胞
交配	交配
基質	基質
成熟區	成熟區
麻疹	麻疹
髓質	髓質
延腦	延髓
大孢子	大孢子
減數分裂	減數分裂
減數分裂第一階段	減數分裂第一階段
減數分裂第二階段	減數分裂第二階段
黑色素	黑色素
褪黑激素	褪黑激素
膜通透性	膜通透性
膜電位	膜電位
記憶細胞	記憶細胞
腦膜	腦膜
腦膜炎	腦膜炎
月經週期	月經周期
行經期	行經期
月經 	月經 
分生組織	分生組織
中新馬	中新馬
中胚層	中胚層
漸新馬	漸新馬
葉肉	葉肉
中生代	中生代
傳訊 RNA	信使RNA
代謝	代謝
代謝物	代謝物
分節現象	分節
變態 {昆蟲}	變態 {昆蟲}
中期 {細胞週期}	中期 {細胞周期}
中期板	中期板；赤道板
甲烷菌	甲烷菌；産甲烷菌
甲烷菌	甲烷菌；産甲烷菌
甲硫胺酸	甲硫氨酸
亞甲藍	亞甲藍
微生物	微生物
微粒體	微體
微演化	微演化
微纖絲	微纖絲
微絲	微絲
顯微注射	顯微注射
微從屬 DNA	微從屬 DNA；微衛星 DNA
微球	微球
小孢子	小孢子
微管	微管
微管組織中心	微管組織中心
微絨毛　	微絨毛　
排尿反射	排尿反射
中腦	中腦
中耳	中耳
中膠層	胞間層
中肋	中脈
遷移	遷移；遷徙；洄遊
擬態	擬態
水俁病	水俣病
礦物質	礦物質
礦物鹽類	礦物鹽類
鹽皮質素	鹽皮質素；礦物皮質素
鹽皮質素	鹽皮質素；礦物皮質素
誤義突變	錯義突變
粒線體	線粒體
有絲分裂	有絲分裂
分裂期 {細胞週期}	分裂期 {細胞周期}
二尖瓣	二尖瓣；僧帽瓣
混合神經	混合神經
變態根	變態根
變態莖	變態莖
黴菌	黴菌
分子養殖	分子養殖；分子農牧
軟體動物	軟件動物
軟體動物門	軟件動物門
軟體動物	軟件動物
原核生物界	原核生物界
單順反子 mRNA	單順反子 mRNA
單株抗體	單克隆抗體
單子葉植物	單子葉植物
單子葉植物	單子葉植物
單子葉植物綱 {舊名}	單子葉植物綱 {舊名}
單子葉植物	單子葉植物
單核球	單核細胞
單核球增多症	單核細胞增多
單源演化說	單源演化說
單性生殖 	單性生殖 
單性狀雜合體	單基因雜種
單性狀雜合體互交	單基因雜種雜交
單體	單體
單極神經元	單極神經元
單醣	單醣
單染色體	單體
單染色體	單體性
單孔類	單孔類
死亡率	死亡率
桑椹胚	桑椹胚
苔類	苔類
運動區	活動區
運動聯合區	活動聯絡區
運動終板	運動終板
運動根	運動根
口器	口器
黏蛋白	黏蛋白
黏膜	黏膜
黏膜淋巴組織	黏膜淋巴組織
泥岸	泥岸
複等位基因	複等位基因
多花果	複果
增殖 	增殖 
多極神經元	多極神經元
多區域說	多區域說
肌梭	肌梭
肌肉萎縮症 	肌肉萎縮症 
肌膜層	肌膜層
黏膜肌層	黏膜肌層
致突變原	誘變劑
突變	突變
互利共生	互利共生
重症肌無力	重症肌無力
菌絲體	菌絲體
真菌界 {舊名}	真菌界 {舊名}
黴漿菌	支原體
菌根	菌根
髓鞘	髓鞘
心肌	心肌
肌纖維　	肌纖維　
肌原纖維	肌原纖維
肌絲	肌絲
肌紅素	肌紅素；肌紅蛋白
近視	近視
肌凝蛋白	肌球蛋白
黏液性水腫	黏液性水腫
鈉鉀幫浦	鈉鉀幫浦；鈉鉀泵
萘乙酸	萘乙酸
鼻腔	鼻腔
鼻道	鼻道
傾性	感性
傾性運動	感性運動
出生率	出生率
天敵	天敵
自然殺手細胞	自然殺傷細胞
天擇	自然選擇，物盡天擇
自然保留區	自然保護區
自然保留區	自然保護區
自然保留區	自然保護區
鸚鵡螺	鹦鹉螺
尼安德塔人	尼安德塔人
針狀葉	針狀葉
刺絲囊	刺絲囊
圓形動物門	圓形動物門
線蟲	線蟲
雲豹	雲豹
腎小管	腎小管
腎結石 	腎結石 
腎元	腎元
近海區	近海區；淺海區
神經	神經
神經元	神經元；神經細胞
神經纖維 	神經纖維 
神經衝動　	神經沖動　
網狀脈	網狀脈
神經脊	神經脊
神經溝	神經溝
神經板	神經板
神經管	神經管
神經內分泌	神經內分泌
神經膠細胞	神經膠質細胞
神經激素	神經激素
神經肌肉會合處	神經肌肉接點
神經元	神經元；神經細胞
神經分泌細胞	神經分泌細胞
紅麵包黴	紅面包黴
神經毒素	神經毒素
神經傳遞物	神經遞質
中性脂肪	中性脂肪
中和	中和
嗜中性球	中性粒細胞
新大陸猴	新大陸猴
蠑螈	蝾螈
菸鹼酸	煙酸
棲位	棲位；生態區位
菸草　	煙草　
菸鹼醯胺腺嘌呤二核苷酸	煙堿醯胺腺嘌呤二核苷酸
菸鹼醯胺腺嘌呤二核苷酸磷酸	煙堿醯胺腺嘌呤二核苷酸磷酸
硝化作用	硝化作用
硝化菌	硝化菌
亞硝酸鹽	亞硝酸鹽
硝化菌	硝化菌
氮循環	氮循環
固氮作用	固氮作用
氮氧化物	氮氧化物
固氮酶	固氮酶
固氮菌	固氮菌
含氮鹼基	含氮堿基；堿基
亞硝化菌	亞硝化菌
痛覺受器	痛覺受器
節	節
郎式結	郎式結；杭式結 {法語發音}
根瘤菌　	根瘤菌　
非編碼序列	非編碼序列
非循環電子傳遞係統	非循環電子傳遞係統
無分離	無分離
常開通道	常開通道
非再生資源	非再生資源
非專一性防禦	非專一性防禦
無維管束植物	無維管束植物
去甲腎上腺素	去甲腎上腺素
去甲腎上腺素	去甲腎上腺素
常態分布	正態分布
脊索	脊索
核套膜	核被膜
核膜	核膜
核孔	核孔
核孔複合體	核孔複合體
核酸酶	核酸酶
核酸	核酸
核酸雜合	核酸雜交
核素	核素
擬核	擬核；類核
擬核區	擬核區；類核區
核仁	核仁
核質	核質
核苷	核苷
核小體	核小體
核苷酸酶 	核苷酸酶 
核苷酸	核苷酸
細胞核	細胞核；神經核
裸鼠	裸鼠
數塔	數塔
養分	養分
營養性貧血	營養性貧血
睡眠運動	睡眠運動
感夜性	感夜性
向夜性	向夜性
物鏡	物鏡
絕對厭氧菌	絕對厭氧菌；專性厭氧菌
絕對厭氧菌	絕對厭氧菌；專性厭氧菌
絕對寄生物	絕對寄生物；專性寄生物
絕對寄生	絕對寄生；專性寄生
枕葉	枕葉
遠洋區	遠洋區；大洋區
目鏡	目鏡
動眼神經	動眼神經
岡崎片段	岡崎片段
舊大陸猴	舊大陸猴
油酸	油酸
嗅球	嗅球
嗅細胞	嗅細胞
嗅黏膜	嗅黏膜
嗅神經	嗅神經
嗅覺	嗅覺
寡樹突細胞　	寡樹突細胞　
寡醣	寡醣
重瓣胃	瓣胃
雜食動物	雜食動物
雜食性	雜食性
致癌基因	致癌基因
櫻花鉤吻鮭	櫻花鈎吻鲑
臺灣櫻花鉤吻鮭	台灣櫻花鈎吻鲑
個體發生  	個體發生  
卵母細胞	卵母細胞
卵配生殖	卵配生殖；卵配結合
卵原細胞	卵原細胞
受精卵 	受精卵 
開放循環係統	開放循環係統
操作子	操縱基因
鰓蓋 {魚}	鰓蓋 {魚}；蒴蓋 {植物}
操縱組	操作子
對生 {植物}	對生 {植物}
視交叉	視交叉
視神經	視神經
猩猩	猩猩
目 {分類}	目 {分類}
器官	器官
柯帝器 {耳}	柯帝器 {耳}
胞器	細胞器
生物	生物；生物體；有機體
複製起點	複制起點
滲透壓受器	滲透壓受器
滲透調節	滲透調節
滲透	滲透
滲透壓	滲透壓
骨細胞	骨細胞
骨質疏鬆症　	骨質疏松症　
心孔 	心門，心孔，等
耳石	耳石
卵圓窗	卵圓窗
卵巢週期	卵巢周期
卵巢	卵巢；子房 {植物}
營養過剩	營養過剩
輸卵管	輸卵管
卵生 	卵生 
卵生	卵生
卵胎生　	卵胎生　
卵胎生	卵胎生
排卵 	排卵 
排卵期	排卵期
胚珠	胚珠
酢漿草	酢漿草
草醯乙酸鹽	草醯乙酸鹽；草醯醋酸鹽
氧化酶	氧化酶
氧化	氧化
氧化磷酸化	氧化磷酸化
儲氧蛋白	儲氧蛋白
氧合血紅素	氧合血紅素；氧合血紅蛋白
催產素	催産素
臭氧	臭氧
P位	P位；肽醯位
節律點	起搏器
古人類學	古人類學
古新世	古新世
古生代	古生代
重演性發生	重演發育
柵狀葉肉	柵狀葉肉
柵狀組織	柵狀組織
胰	胰
胰島	胰島
胰液	胰液
胰脂酶	胰脂酶
胰脂酶	胰脂酶
胰酶泌素	促胰酶素
實球藻	實球藻
恐慌發作	恐慌發作
隨機交配	隨機交配
隨機交配	隨機交配
隨機交配	隨機交配
乳突狀瘤病毒	乳頭狀瘤病毒
草履蟲	草履蟲
附肢	附肢；疣足
寄生	寄生
寄生現象	寄生
副交感神經	副交感神經
副甲狀腺	副甲狀腺
副甲狀腺素	副甲狀腺素
薄壁組織	薄壁組織
薄壁細胞	薄壁細胞
親代	親代
頂葉	頂葉
帕金森病	帕金森病；巴金森病
腮腺	腮腺
單性結果	單性結果
孤雌生殖 {動物}	孤雌生殖 {動物}；單性生殖 {植物}
分娩	分娩
被動吸收	被動吸收
被動免疫	被動免疫
被動運輸	被動運輸
病原體	病原體
病原菌	病原菌
泥炭	泥炭
果膠	果膠
果膠酶	果膠酶
譜係	譜係
譜係分析 	譜係分析 
譜係圖	譜係圖
北京猿人	北京猿人
水層區	水層區；遠洋區
斧足綱	斧足綱
沈澱物	沈澱物
髖骨	髋骨
青黴素	青黴素，盤尼西林
陰莖	陰莖
五碳醣	五碳醣；戊醣
胃蛋白酶 	胃蛋白酶 
胃蛋白酶原	胃蛋白酶原
肽酶	肽酶
肽	肽
肽鍵	肽鍵
肽聚糖	肽聚糖
P位	P位；肽醯位
多年生植物	多年生植物
完全花	完全花
完全葉	完全葉
穿孔蛋白	穿孔蛋白
果皮	果皮
周鞘	中柱鞘
周皮	周皮；栓皮
周圍	周圍；周邊
周邊化學受器	周邊化學受器；周邊化學受體
膜周邊蛋白	外周膜蛋白
周圍神經	外周神經
周圍神經係統	外周神經係統
蠕動	蠕動
永凍層	永凍土
通透酶	通透酶
二疊紀	二叠紀
惡性貧血	惡性貧血
過氧化酶	過氧化酶
過氧化體	過氧化體
持久性有機汙染物	持久性有機汙染物
百日咳	百日咳
花瓣	花瓣
白面鼯鼠	白面鼯鼠
葉柄	葉柄
扁裸藻	扁裸藻；扁眼蟲
噬菌體	噬菌體
吞噬細胞	吞噬細胞
吞噬作用	吞噬作用
吞噬體	吞噬體
咽裂	咽裂
咽	咽
栓皮層	栓內層
木栓形成層	木栓形成層
表型	表型
苯丙胺酸	苯丙胺酸
苯酮尿症	苯丙酮尿症
苯丙酮酸鹽	苯丙酮酸鹽
苯丙酮酸	苯丙酮酸
苯硫脲	苯硫脲
費洛蒙	費洛蒙；外泌素
韌皮部	韌皮部
磷酸鹽	磷酸鹽
磷酸根	磷酸根
磷酸肌酸	磷酸肌酸
磷酸烯醇丙酮酸鹽	磷酸烯醇丙酮酸鹽
磷酸甘油酸鹽	磷酸甘油酸鹽
磷脂	磷脂
磷脂雙層	磷脂雙層
磷酸	磷酸
磷循環	磷循環
磷酸化	磷酸化
光自營生物	光自養生物
光裂解	光裂解
光子	光子
光週期	光周期
光週期現象	光周期現象；光周期性
光磷酸化	光磷酸化
光受器	光受器；光受體
光呼吸	光呼吸
光合作用產物	光合作用産物
光合作用	光合作用
光係統	光係統
趨光性	趨旋旋光性
向光性	向旋旋光性
葉序	葉序
葉序	葉序
親緣關係樹	親緣關係樹；種係發生樹
親緣關係	親緣關係；種係發生
門 {分類}	門 {分類}
植物性化合物	植物性化合物
光敏素	光敏素
植物雌激素	植物雌激素；植物動情激素
植物性浮遊生物	植物性浮遊生物
軟腦膜	軟膜
微小 RNA 病毒	微小 RNA 病毒
色素上皮細胞	色素上皮細胞
線毛	線毛
松果腺	松果腺
耳殼	耳廓
胞飲作用	胞飲作用
先驅群集	先鋒群落
魚類	魚類
雌蕊	雌蕊
豌豆	豌豆
壁孔	壁孔
髓	髓
髓腔	髓腔
髓線	髓射線
孔紋導管	孔紋導管
孔紋導管	孔紋導管
腦垂腺	腦垂腺
胎盤 {動物}	胎盤 {動物}；胎座 {植物}
胎盤哺乳類	胎盤哺乳類；真獸類
渦蟲	渦蟲
浮遊生物	浮遊生物
植物病毒  	植物病毒  
植物界	植物界
血漿	血漿
漿細胞	漿細胞
細胞膜	細胞膜
質體	質體
原生質絲	原生質絲
質離	質壁分離
色素體	質體
色素體藍素	質體藍蛋白
色素體醌   	色素體醌   
黑面琵鷺	黑面琵鹭
血小板	血小板
扁形動物門	扁形動物門
基因多效性	基因多效性
更新世	更新世
祖徵	祖征
胸膜	胸膜
褶皺	褶皺
環狀褶皺	環狀褶皺
上新世	上新世
上新馬	上新馬
胚芽	胚芽
多潛能幹細胞	多能幹細胞
肺炎雙球菌 {舊名}	肺炎雙球菌 {舊名}
外溫動物	外溫動物；變溫動物
點突變	點突變
極體	極體
極核	極核
極化	極化
極細胞	極細胞
脊髓灰質炎	脊髓灰質炎；小兒麻痹症
脊髓灰質炎	脊髓灰質炎；小兒麻痹症
花粉	花粉
花粉粒	花粉粒
花粉囊	花粉囊
花粉管	花粉管
授粉	授粉
汙染物	汙染物
汙染	汙染
多腺苷酸尾	多腺苷酸尾
多順反子 mRNA	多順反子 mRNA
多指症	多指症；多趾症
多基因遺傳	多基因遺傳
聚合物	聚合物
聚合酶	聚合酶
聚合酶連鎖反應	聚合酶連鎖反應
多型性	多型性
多核苷酸	多核苷酸；聚核苷酸
多肽	多肽
多倍體	多倍體
多倍體	多倍體
聚核糖體	聚核糖體；多核糖體
多醣	多醣
多線染色體	多線染色體
龐貝症	II型糖原貯積症
橋腦	橋腦
族群	種群
族群成長曲線	種群生長曲線
海綿動物門	多孔動物門
紫質	卟啉
肛後尾	肛後尾
眼後房	眼後房
腦垂腺後葉	腦垂腺後葉
節後神經纖維	節後神經纖維
突觸後神經元	突觸後神經元
鉀氬法	鉀氩法
電位	電位
位能	位能
有袋哺乳類	有袋哺乳類
前寒武紀	前寒武紀
微血管前括約肌	微血管前括約肌
沈澱	沈澱
掠食	捕食
節前神經纖維	節前神經纖維
懷孕	懷孕
壓力流	壓力流
突觸前神經元	突觸前神經元
初生細胞壁	初生細胞壁
初級消費者	初級消費者
初級生長	初級生長
初級免疫反應	初級免疫反應
初級淋巴器官	初級淋巴器官
初級溶體	初級溶酶體
初級代謝物	初級代謝物
主要運動區	主要運動區
初生根	初生根
主要體感覺區	主要體感覺區
一級結構 {蛋白質}	一級結構 {蛋白質}
初級演替	原生演替
導引酶	引發酶
靈長目	靈長目
引子	引物
獨立分配律	獨立分配律
分離律	分離律
傳染性蛋白顆粒	阮病毒，蛋白感染粒
探針	探針
原形成層	原形成層
原核生物	原核生物
突起 {動物}	突起 {動物}
生產者 {生態}	生産者 {生態}
黃體酮	黃體酮
黃體素	黃體素
節片 {絛蟲}	節片 {縧蟲}
胰島素原	胰島素原
原核生物	原核生物
原核細胞	原核細胞
催乳素	催乳素
增生期	增生期
脯胺酸	脯胺酸
啟動子	啓動子
支持根	支持根；支柱根
前期 {細胞週期}	前期 {細胞周期}
丙酸	丙酸
本體感覺	本體感覺
本體受器	本體受器
原猴	原猴
原猴亞目	原猴亞目
前列腺素	前列腺素
前列腺	前列腺；攝護腺
蛋白酶	蛋白酶
蛋白酶體	蛋白酶體
保護組織	保護組織
蛋白質	蛋白質
蛋白體	蛋白體
原葉體	原葉體
原葉體	原葉體
凝血酶原	凝血酶原
原生生物	原生生物
原生生物界	原生生物界
原生生物	原生生物
原生體	原生體
原表皮層	原表皮層
出芽生殖	出芽生殖
質子幫浦	質子幫浦；質子泵；氫離子幫浦；氫離子泵
原絲體	原絲體
原腎管	原腎管
原生質	原生質
原生質體	原生質體
原口動物	原口動物
原生動物	原生動物；原蟲
近曲小管	近曲小管
副果	副果；假果
假體腔	假體腔
假體腔動物	假體腔動物
偽足	僞足
唾液澱粉酶	唾液澱粉酶
肺動脈 	肺動脈 
肺循環	肺循環
肺結核病	肺結核病
脈搏 	脈搏 
葉枕	葉枕
幫浦	幫浦；泵
龐尼特方格	龐尼特方格
瞳孔	瞳孔
嘌呤	嘌呤
浦金耶纖維	浦金耶纖維
膿	膿
幽門	幽門
生物量塔	生物量塔
能量塔	能量塔
食物塔	食物塔
數塔	數塔
澱粉核	澱粉核
嘧啶	嘧啶
吡咯	吡咯
丙酮酸鹽  	丙酮酸鹽  
丙酮酸	丙酮酸
數量性狀	數量性狀；定量性狀
數量遺傳	數量遺傳
第四紀	第四紀
四級結構 {蛋白質}	四級結構 {蛋白質}
奎寧 	奎甯 
狂犬病	狂犬病
輻射適應	輻射適應
輻射肌	輻射肌
輻射對稱	輻射對稱
輻射	輻射
胚根 {植物}	胚根 {植物}
放射性	放射性
放射性	放射性
放射性估年法	放射性估年法
舌根	舌根
齒舌	齒舌
蜜三糖	蜜三糖；棉子糖　
隨機分布	隨機分布
再吸收	再吸收
反應物	反應物
反應中心	反應中心
讀框	讀框
受體	受體；受器
受體媒介胞吞作用	受體媒介胞吞作用
隱性	隱性
互交 	反交
重組 DNA	重組 DNA
重組	重組
直腸	直腸
再循環	再循環；回收
紅藻	紅藻
紅血球	紅血球
紅骨髓	紅骨髓
入侵紅火蟻	入侵紅火蟻
紅髓	紅髓
紅潮	紅潮；赤潮
紅綠色盲 	紅綠色盲 
氧化還原電位	氧化還原電位
還原作用	還原作用；減量
氧化還原電位	氧化還原電位
位移痛	牽涉痛
反射	反射
反射弧	反射弧
不反應期	不應期
再生	再生
調節基因	調節基因
反芻	反刍
排斥	排斥
轉接站	轉接站；中繼站
釋素	釋素
腎小體	腎小體
腎絲球	腎絲球
腎乳突	腎乳突
腎盂	腎盂
腎錐體	腎錐體
腎小管	腎小管
再生資源	再生資源
腎素	腎素
腎素－血管收縮素－醛固酮係統	腎素－血管收縮素－醛固酮係統
凝乳酶	凝乳酶
複製	複制
複製叉	複制叉
再極化	再極化
可誘導型酵素	可誘導型酵素
可抑制型操縱組	可抑制型操縱組
抑制物	抑制物
抑制蛋白	抑制蛋白
生殖	生殖；繁殖
生殖隔離	生殖隔離
生殖潛能	生殖潛能
爬蟲類	爬蟲類
爬蟲綱	爬蟲綱
殘餘體	殘余體
呼吸	呼吸
呼吸深度	呼吸深度；呼吸容積
靜止膜電位	靜止膜電位
休眠孢子	休眠孢子
限制酶	限制酶
網狀活化係統	網狀活化係統
網狀組成	網狀結構
網狀脈	網狀脈
蜂巢胃 {動物}	網胃
視網膜	視網膜
視黃醛	視黃醛
反轉錄病毒	反轉錄病毒；逆轉錄病毒
反轉錄酶	反轉錄酶；逆轉錄酶
風溼性心臟病	風濕性心髒病
類風溼性關節炎	類風濕性關節炎
根瘤菌	根瘤菌
根瘤菌	根瘤菌
假根	假根
根莖	根莖
五梨跤	五梨跤
黑黴菌	黑黴菌
視紫素	視紫紅質
肋骨	肋骨
核黃素	核黃素
核糖核酸水解酶	核糖核酸水解酶
核糖核酸	核糖核酸
核糖	核糖
核糖體 RNA	核糖體 RNA
核糖體	核糖體
核糖核酸酵素	核酶
核酮糖雙磷酸	核酮糖雙磷酸
核酮糖雙磷酸羧化酶	核酮糖雙磷酸羧化酶
立克次體	立克次體
右淋巴總管	右淋巴總管
河口	河口
RNA 聚合酶	RNA 聚合酶
RNA 加工	RNA 加工；RNA 處理
RNA 剪接	RNA 剪接
視桿細胞	視杆細胞
根	根
根冠	根冠
根毛	根毛
根瘤　	根瘤　
根瘤菌	根瘤菌
根壓	根壓
根係	根係
根尖	根尖
輪狀病毒	輪狀病毒
粗糙內質網	糙面內質網
圓蟲	圓蟲
核酮糖雙磷酸羧化酶	核酮糖雙磷酸羧化酶
瘤胃	瘤胃
反芻動物	反刍動物
沙賓疫苗	沙賓疫苗
子囊菌	子囊菌
醣類	醣類
酵母菌	酵母菌
球囊	球囊
薦神經	薦神經
蠑螈	蝾螈
鹽化	鹽化
鹽化	鹽化
唾液	唾液
唾液澱粉酶	唾液澱粉酶
唾腺	唾腺
沙門桿菌	沙門杆菌
鹽澤	鹽澤；鹽沼
跳躍傳導	跳躍傳導
皂素	皂苷
腐生	腐生
腐營生物	腐養生物
邊材	邊材
肌膜	肌膜
肌節	肌節
肌質	肌質
肌質網	肌質網
飽足	飽足
鱗葉	鱗葉
掃描式電子顯微鏡	掃描式電子顯微鏡
肩胛骨 	肩胛骨 
猩紅熱	猩紅熱
清除者	腐食類
分裂生殖	分裂生殖
裂殖酵母菌	裂殖酵母菌
許旺細胞	施萬細胞
嫁接枝	嫁接枝；接穗
鞏膜	鞏膜
厚壁細胞	厚壁細胞
厚壁組織	厚壁組織
頭節	頭節
陰囊	陰囊
第二子代	子二代
第二傳訊者	第二信使
次生細胞壁	次生細胞壁
次級消費者	次級消費者
次級生長	次級生長
次級免疫反應	再次免疫應答
次級淋巴器官	次級淋巴器官，周圍淋巴器官
次級溶體	次級溶酶體
次級代謝物	次級代謝物
第二性徵	第二性征
二級結構 {蛋白質}	二級結構 {蛋白質}
次級演替	次生演替
胰泌素	促胰液素
分泌	分泌；分泌物
分泌細胞	分泌細胞
玉山佛甲草	玉山佛甲草
種子	種子
種皮	種皮
種子植物	種子植物
觸發運動	觸發運動
選透性	選透性
選透膜	選透膜
自花授粉	自花授粉
自交 	自交 
精液 	精液 
半規管	半規管
半保留複製	半保留複制
半顯性	半顯性
半月瓣	半月瓣
儲精囊	儲精囊
細精管 	生精小管
半透性	半透性
半透膜	半透膜
老化	老年化
感應毛 {植物}	感應毛 {植物}
感應性	感應性；敏感性；靈敏度
感光色素	感光色素
感覺區	感覺區
感覺神經元	感覺神經元
感覺受器	感覺受器
萼片	萼片
中膈	中膈；隔膜 
定序	定序
絲胺酸   	絲胺酸   
漿膜	漿膜
漿膜	漿膜
血清素	血清素；5-羟基色胺
血清 	血清 
剛毛 {動物}	剛毛 {動物}；蒴柄 {植物}
嚴重急性呼吸道症候群	嚴重急性呼吸道症候群
嚴重合併性免疫缺失病	嚴重合並性免疫缺失病；嚴重合並性免疫不全病
性染色體	性染色體
性聯	性聯
性聯性狀	性聯性狀
性聯基因	性聯基因
性聯遺傳	性聯遺傳
有性生殖	有性生殖
性擇	性擇
耐陰植物	喜陰植物
鞘	鞘
紫草素	紫草素
莖	莖；枝
莖頂分生組織	莖頂分生組織
短日照植物	短日照植物
短夜植物	短夜植物
短期記憶	短期記憶
樹鼩	樹鼩
灌木	灌木
灌木層	灌木層
鐮形血球貧血症	鐮形血球貧血症
鐮形血球貧血症	鐮形血球貧血症
支鏈	支鏈；側鏈
篩細胞	篩細胞
篩板	篩板
篩孔	篩孔
篩管	篩管
篩管細胞	篩管細胞
篩管細胞	篩管細胞
訊息肽	信號肽
訊息序列	信號序列
簡單擴散	簡單擴散
單果	單果
單葉	單葉
簡單脂質	簡單脂質
單葉	單葉
竇房結	窦房結
姐妹染色分體	姐妹染色分體
糞臭素	糞臭素
睡眠呼吸中止症	睡眠呼吸暫停綜合征
睡眠運動	睡眠運動
黏菌	黏菌
天花	天花
平滑內質網	光面內質網
鈉鉀幫浦	鈉鉀幫浦；鈉鉀泵
軟顎 	軟颚 
入侵紅火蟻	入侵紅火蟻
體細胞	體細胞
體神經	體神經
體神經係統	體神經係統
生長激素	生長激素
生長激素	生長激素
山梨糖醇	山梨糖醇
孢子囊群	孢子堆
供給部-匯集部 {植物}	供給部-彙集部 {植物}
南方印漬	南方印漬
南方印漬術	南方印漬術
種化	物種形成
物種	物種；種
物種多樣性	物種多樣性
物種勻度	物種勻度
物種豐度	物種豐度
種小名	種小名
比熱	比熱
專一性	專一性
分光光度計	分光光度計；光譜儀
精子 	精子 
精細胞	精細胞
精母細胞  	精母細胞  
精原細胞 	精原細胞 
種子植物門	種子植物門
括約肌	括約肌
血壓計	血壓計
脊髓	脊髓
脊神經	脊神經
紡錘體	紡錘體
紡錘絲	紡錘絲
紡錘體	紡錘體
氣門	氣門
螺菌屬	螺菌屬
螺旋體	螺旋體
螺旋體門	螺旋體門
脾	脾
剪接體	剪接體
裂葉	裂葉
海綿葉肉	海綿葉肉
