1,2,3-三甲苯	偏三甲苯；1,2,3-三甲苯 
鍵能	鍵能 
鍵長	鍵長
鍵結	鍵結；黏結
鍵結電子對	成鍵電子對
鍵結電子對	成鍵電子對
波希	博施
波以耳	波義耳
波以耳定律	波義耳定律
布勞恩	布勞恩
布勞恩管	布朗管，布勞恩管
磚	磚
溴乙烷	溴乙烷
溴甲烷	溴化甲烷
溴瑞香草酚藍	溴麝香草酚藍
布忍斯特	布忍司特
布-洛理論	布侖斯惕-勞裏理論
布朗　　	布朗　　
布朗運動　　	布朗運動
巴克球	巴基球
緩衝對	緩沖對
緩衝溶液	緩沖溶液 
布納橡膠	布納橡膠
本生	本生
丁烷	丁烷
丁酮	丁酮
丁烯	丁烯 
丁胺	丁胺
丁二醇 	丁二醇
咖啡鹼	咖啡堿，咖啡因
鈣	鈣
碳酸鈣	碳酸鈣
硫酸鈣	硫酸鈣
校準燒瓶	校準瓶
甘汞電極	甘汞電極
卡	卡 
坎尼乍若	坎尼紮羅
坎尼乍若法	坎尼紮羅法
己內醯胺	己內酰胺 
碳陽離子	碳正離子
醣	碳水化合物 
石炭酸	(苯)酚，石炭酸
碳	碳 
碳黑	炭黑
碳簇	碳簇
二氧化碳	二氧化碳 
一氧化碳	一氧化碳
奈米碳管	碳納米管，奈米碳管
四氯化碳	四氯化碳
羰基	羰基
碳鋅電池	碳鋅電池
羧基	羧基
羧酸類	羰酸
柯爾	柯爾
胡蘿蔔素	胡蘿蔔素
類胡蘿蔔素	類胡蘿蔔素 
卡諾瑟	卡羅瑟斯
香旱芹酮	香芹酮
錫石	錫石
觸媒	催化劑
觸媒轉化器	催化轉化器；觸媒轉換器
兒茶素	兒茶素 
陰極	陰極
陰極室	陰極室
陰極射線	陰極射線
陰極射線管	陰極射線管
陰極防蝕	陰極保護 
陽離子	陽離子，正離子
陽離子交換樹脂	陽離子交換樹脂 
陽離子界面活性劑	陽離子型表面活性劑
苛性鉀	苛性鉀
燒鹼	苛性鈉
細胞 {生化}	細胞，電池
電池電位	電池電位
賽璐珞	賽璐珞；明膠
纖維素	纖維素 
陶瓷	陶瓷
陶瓷封裝	陶瓷封裝
角銀礦	角銀礦 
查兌克	查德威克
鏈烴	鏈烴
鏈反應	鏈反應 
電荷平衡	電荷平衡
荷質比	荷質比
查理{法}	查爾斯
查理定律	查理定律
鉗合物	螯合物 
化學鍵	化學鍵 
化學變化	化學變化
化學反應式	化學方程式
化學式	化學式
化學動力學	化學動力學 
化學需氧量	化學需氧量
化學浸鍍	化學鍍 
化學性質	化學性質
化學反應	化學反應 
化學符號	化學符號
化學蒸鍍	化學蒸汽沈積
化學	化學
光化層	光化層 
氯丹	氯丹，八氯化甲橋茚
氯苯	氯苯
氯乙烯	氯乙
氟氯碳化物	氯氟碳化物 
氯仿	氯仿
氯甲烷	氯甲烷；甲基氯
葉綠素	葉綠素
膽固醇狀	膽固醇
層析術	色譜法 
順	順式
順2 -丁烯	順式-2-丁烯
順式異構物	順式異構體
順反異構物	順反異構體
黏土	黏土
凝聚劑	凝聚劑 
凝聚劑	凝聚劑 
凝聚	聚沈 
煤	煤 
煤溚	煤焦油
塗料	塗料
鈷	钴
古柯鹼	可卡因 
輔酶	輔酶 
輔因子	輔因子
煤焦	焦炭 
冷陰極螢光燈	冷陰極熒光燈；CCFL
膠原蛋白	膠原，膠原質
依數性	依數性
碰撞頻率	碰撞頻率 
碰撞學說	碰撞理論 
膠體	膠體
濾光板	濾色鏡
色料	有色材料；色材
化合反應	化合反應
燃燒	燃燒 
燃燒分析	燃燒分析
燃燒分析法	燃燒分析法
同離子效應	同離子效應 
食鹽	食鹽
錯合物	絡合物 
化合物	化合物
濃度	濃縮
縮合	凝聚，縮合，冷凝
縮合聚合物	縮(合)聚(合)物
縮聚	縮聚反應
凝相	縮相，凝相
傳導層	導電層
康岱　  	康狄
康岱氏消毒液	康狄氏消毒液
構形異構物	構象異構體
共軛酸	共轭酸
共軛酸鹼對	共轭酸堿對 
共軛鹼	共轭堿
複合蛋白質	綴合蛋白質 
接觸法	接觸法
配位化合物	配位化合物
配位數	配位數
共聚物	共聚物
化妝品	化妝品
庫侖靜電力	庫侖靜電力
共價鍵	共價鍵
共價網狀固體	共價網絡固體
共價半徑	共價半徑 
裂煉	破碎 
克裏克	克裏克
臨界點	臨界點
臨界壓力	臨界壓力 
臨界溫度	臨界溫度 
克魯克斯	克魯克斯
克魯克斯管	克魯克斯放電管
交聯	交聯聚合
冠醚	冠醚 
原油	原油 
冰晶石	冰晶石 
晶體	晶體
晶格	晶格，晶體點陣
晶種	晶種
結晶	結晶 
類晶體	類晶體，擬晶質
立方最密堆積	立方最密堆積
居裏	居裏
居裏	居裏
鋦	锔
環狀醚類	環醚
環烴	環烴
環烷	環烷
環己烷	環己烷 
環己胺	環己胺
環氧合酶	環氧酶
環丙烷	環丙烷 
半胱胺酸	半胱氨酸 
胱胺酸	胱氨酸 
胞嘧啶	胞嘧啶 
達克綸	滌綸，達可綸
道耳頓	道爾頓
道耳頓原子論	道爾頓原子理論
道耳頓分壓定律	道爾頓分壓定律
損傷層	損傷層
丹尼耳	丹尼爾
丹尼耳電池	丹聶耳電池
戴維　  	戴維
d-區元素	ｄ區元素 
DDT	DDT
德布羅意	德布羅意
德拜	德拜
德拜鬆弛	德拜松弛
脫鈣液	脫鈣器
傾析	傾析
分解	分解 
分解反應	分解反應 
結晶度	結晶度
解離度	離解度
遊離度	電離度 
聚合度	聚合度
脫水	脫水
脫鹵氫	脫鹵化氫 
去離子水	去離子水 
非定域化	去域，離域
非定域	使去域，使離域
非定域電子	非定域電子
非定域價電子	遊移儀電子
德謨克利特	德谟克利特
變性	變性 
去臭	除臭,  防臭
去氧核糖核酸	DNA
去氧核糖核苷酸	脫氧核苷酸 
去氧核糖	脫氧核糖 
去極劑	去極化劑 
沈積	沈積 
衍生物	衍生物 
清潔劑	洗滌劑
杜瓦瓶	杜瓦瓶 
反磁性	抗磁性 
鑽石	金剛石
隔膜電解槽	隔膜電池
重氮萘醌	重氮萘醌
二溴乙烷	二溴乙烷
二溴甲烷	二溴甲烷
滴滴涕{殺蟲劑}	滴滴涕(殺蟲劑)；DDT
乙醚	乙醚
擴散	擴散
消化	消化 
二聚合	二聚
甲醚	二甲醚
二甲胺	二甲胺
戴奧辛	二惡英
二苯基醚	二苯醚
偶極-偶極力	取向力
二質子酸	二質子酸
直接乙醇燃料電池	燃料電池
直接法	直接法 
雙醣	二糖
消毒	消毒 
分散質	分散質
分散介質	分散介質；分散劑
分散力	分散力
自身氧化還原	歧化反應 
解離能	解離能 
